"","AirportName","City","Country","Week","Percent.wk","Month","Percent.mo"
"183","Kingsford Smith","Sydney","Australia",12,90.4285714285714,3,83.125
"184","Kingsford Smith","Sydney","Australia",13,73.5714285714286,3,83.125
"185","Kingsford Smith","Sydney","Australia",16,56.5714285714286,4,53.2413793103448
"186","Kingsford Smith","Sydney","Australia",16,56.5714285714286,4,53.2413793103448
"187","Kingsford Smith","Sydney","Australia",28,54.2857142857143,7,46.258064516129
"188","Kingsford Smith","Sydney","Australia",29,51.8571428571429,7,46.258064516129
"189","Kingsford Smith","Sydney","Australia",35,15.5,9,16.4
"190","Kingsford Smith","Sydney","Australia",37,17.8571428571429,9,16.4
"191","Kingsford Smith","Sydney","Australia",40,15.5714285714286,10,19.3870967741935
"192","Kingsford Smith","Sydney","Australia",44,20.2857142857143,10,19.3870967741935
"193","Kingsford Smith","Sydney","Australia",44,20.2857142857143,11,23.8275862068966
"194","Kingsford Smith","Sydney","Australia",17,56.8333333333333,4,53.2413793103448
"195","Kingsford Smith","Sydney","Australia",23,45,6,52.5172413793103
"196","Kingsford Smith","Sydney","Australia",35,15.5,8,17.7931034482759
"197","Kingsford Smith","Sydney","Australia",43,20.4285714285714,10,19.3870967741935
"198","Kingsford Smith","Sydney","Australia",47,24.5714285714286,11,23.8275862068966
"199","Kingsford Smith","Sydney","Australia",49,27,12,24
"200","Kingsford Smith","Sydney","Australia",21,46.7142857142857,5,49.1290322580645
"201","Kingsford Smith","Sydney","Australia",23,45,6,52.5172413793103
"202","Kingsford Smith","Sydney","Australia",15,38,4,53.2413793103448
"203","Kingsford Smith","Sydney","Australia",26,55.8571428571429,6,52.5172413793103
"204","Kingsford Smith","Sydney","Australia",30,35.4285714285714,7,46.258064516129
"205","Kingsford Smith","Sydney","Australia",31,19.7142857142857,7,46.258064516129
"206","Kingsford Smith","Sydney","Australia",43,20.4285714285714,10,19.3870967741935
"207","Kingsford Smith","Sydney","Australia",47,24.5714285714286,11,23.8275862068966
"208","Kingsford Smith","Sydney","Australia",48,27.8571428571429,11,23.8275862068966
"209","Kingsford Smith","Sydney","Australia",17,56.8333333333333,4,53.2413793103448
"210","Kingsford Smith","Sydney","Australia",30,35.4285714285714,7,46.258064516129
"211","Kingsford Smith","Sydney","Australia",33,18.1666666666667,8,17.7931034482759
"212","Kingsford Smith","Sydney","Australia",34,15.5714285714286,8,17.7931034482759
"213","Kingsford Smith","Sydney","Australia",44,20.2857142857143,11,23.8275862068966
"214","Kingsford Smith","Sydney","Australia",45,21.5,11,23.8275862068966
"215","Kingsford Smith","Sydney","Australia",22,52.5714285714286,5,49.1290322580645
"216","Kingsford Smith","Sydney","Australia",24,55.1428571428571,6,52.5172413793103
"217","Kingsford Smith","Sydney","Australia",35,15.5,8,17.7931034482759
"218","Kingsford Smith","Sydney","Australia",43,20.4285714285714,10,19.3870967741935
"219","Kingsford Smith","Sydney","Australia",46,22.8571428571429,11,23.8275862068966
"220","Kingsford Smith","Sydney","Australia",47,24.5714285714286,11,23.8275862068966
"221","Kingsford Smith","Sydney","Australia",13,73.5714285714286,3,83.125
"222","Kingsford Smith","Sydney","Australia",19,47.1428571428571,5,49.1290322580645
"223","Kingsford Smith","Sydney","Australia",31,19.7142857142857,8,17.7931034482759
"224","Kingsford Smith","Sydney","Australia",36,14.8571428571429,9,16.4
"225","Kingsford Smith","Sydney","Australia",43,20.4285714285714,10,19.3870967741935
"226","Kingsford Smith","Sydney","Australia",20,50.1428571428571,5,49.1290322580645
"227","Kingsford Smith","Sydney","Australia",21,46.7142857142857,5,49.1290322580645
"228","Kingsford Smith","Sydney","Australia",22,52.5714285714286,5,49.1290322580645
"229","Kingsford Smith","Sydney","Australia",26,55.8571428571429,6,52.5172413793103
"230","Kingsford Smith","Sydney","Australia",32,21,8,17.7931034482759
"231","Kingsford Smith","Sydney","Australia",41,21.4285714285714,10,19.3870967741935
"232","Kingsford Smith","Sydney","Australia",42,18.4285714285714,10,19.3870967741935
"233","Kingsford Smith","Sydney","Australia",44,20.2857142857143,10,19.3870967741935
"234","Kingsford Smith","Sydney","Australia",13,73.5714285714286,3,83.125
"235","Kingsford Smith","Sydney","Australia",14,59.5714285714286,4,53.2413793103448
"236","Kingsford Smith","Sydney","Australia",30,35.4285714285714,7,46.258064516129
"237","Kingsford Smith","Sydney","Australia",39,15.4285714285714,9,16.4
"238","Kingsford Smith","Sydney","Australia",23,45,6,52.5172413793103
"239","Kingsford Smith","Sydney","Australia",30,35.4285714285714,7,46.258064516129
"240","Kingsford Smith","Sydney","Australia",34,15.5714285714286,8,17.7931034482759
"241","Kingsford Smith","Sydney","Australia",40,15.5714285714286,10,19.3870967741935
"242","Kingsford Smith","Sydney","Australia",42,18.4285714285714,10,19.3870967741935
"243","Kingsford Smith","Sydney","Australia",44,20.2857142857143,11,23.8275862068966
"244","Kingsford Smith","Sydney","Australia",30,35.4285714285714,7,46.258064516129
"245","Kingsford Smith","Sydney","Australia",37,17.8571428571429,9,16.4
"246","Kingsford Smith","Sydney","Australia",20,50.1428571428571,5,49.1290322580645
"247","Kingsford Smith","Sydney","Australia",38,17.7142857142857,9,16.4
"248","Kingsford Smith","Sydney","Australia",39,15.4285714285714,9,16.4
"249","Kingsford Smith","Sydney","Australia",42,18.4285714285714,10,19.3870967741935
"250","Kingsford Smith","Sydney","Australia",14,59.5714285714286,4,53.2413793103448
"251","Kingsford Smith","Sydney","Australia",25,51.7142857142857,6,52.5172413793103
"252","Kingsford Smith","Sydney","Australia",28,54.2857142857143,7,46.258064516129
"253","Kingsford Smith","Sydney","Australia",36,14.8571428571429,9,16.4
"254","Kingsford Smith","Sydney","Australia",16,56.5714285714286,4,53.2413793103448
"255","Kingsford Smith","Sydney","Australia",21,46.7142857142857,5,49.1290322580645
"256","Kingsford Smith","Sydney","Australia",23,45,6,52.5172413793103
"257","Kingsford Smith","Sydney","Australia",28,54.2857142857143,7,46.258064516129
"258","Santiago International Airport","Santiago","Chile",11,84,3,38.4
"259","Santiago International Airport","Santiago","Chile",17,17.8333333333333,4,19.5714285714286
"260","Santiago International Airport","Santiago","Chile",19,22.7142857142857,5,21.4444444444444
"261","Santiago International Airport","Santiago","Chile",21,19.8571428571429,5,21.4444444444444
"262","Santiago International Airport","Santiago","Chile",42,47.1428571428571,10,47.8064516129032
